ko,zh,romanization,type,pos,example_ko,example_zh,note,tags
안녕하세요,你好,annyeonghaseyo,詞組,인사말,,,一天中任何時候都能用,問候
안녕히 가세요,再見,annyeonghi gaseyo,詞組,인사말,,,對「要離開的人」說,問候
안녕히 계세요,再見,annyeonghi gyeseyo,詞組,인사말,,,自己離開時對「留下的人」說,問候
안녕히 주무세요,晚安,annyeonghi jumuseyo,詞組,인사말,,,對長輩用的敬語,問候
감사합니다,謝謝,gamsahamnida,詞組,인사말,,,最通用的正式謝謝,問候
고맙습니다,謝謝,gomapseumnida,詞組,인사말,,,語感比 감사합니다 親切一點,問候
죄송합니다,對不起,joesonghamnida,詞組,인사말,,,正式場合道歉,問候
미안해요,對不起,mianhaeyo,詞組,인사말,,,朋友之間用,問候
괜찮아요,沒關係,gwaenchanayo,詞組,,,,也可表示「我沒事」,問候
실례합니다,不好意思,sillyehamnida,詞組,,,,打擾別人前先說,問候
잠시만요,請稍等,jamsimanyo,詞組,,,,擠過人群時也用這句,問候
어서 오세요,歡迎光臨,eoseo oseyo,詞組,,,,店家對客人說,問候
처음 뵙겠습니다,初次見面,cheoeum boepgetseumnida,詞組,,,,初次見面的固定開場,問候
만나서 반갑습니다,很高興認識你,mannaseo bangapseumnida,詞組,,,,接在自我介紹後,問候
잘 부탁드립니다,請多指教,jal butakdeurimnida,詞組,,,,自我介紹的收尾句,問候
수고하셨습니다,辛苦了,sugohasyeotseumnida,詞組,,,,對平輩或晚輩；對長輩宜用 고생 많으셨습니다,問候
잘 먹겠습니다,我要開動了,jal meokgetseumnida,詞組,,,,吃飯前說,用餐
잘 먹었습니다,我吃飽了,jal meogeotseumnida,詞組,,,,吃完後對請客的人說,用餐
저,我,jeo,單字,대명사,저는 대만 사람이에요.,我是台灣人。,謙稱；對長輩或不熟的人用,自我介紹
나,我,na,單字,대명사,나는 학생이야.,我是學生。,半語；只對熟人或晚輩用,自我介紹
이름,名字,ireum,單字,명사,이름이 뭐예요?,你叫什麼名字？,,自我介紹
나이,年齡,nai,單字,명사,나이가 어떻게 되세요?,請問你幾歲？,直接問 몇 살 對長輩失禮,自我介紹
한국,韓國,hanguk,單字,명사,한국에 가고 싶어요.,我想去韓國。,,國家
대만,台灣,daeman,單字,명사,저는 대만에서 왔어요.,我從台灣來。,,國家
중국,中國,jungguk,單字,명사,,,,國家
일본,日本,ilbon,單字,명사,,,,國家
사람,人,saram,單字,명사,저 사람은 누구예요?,那個人是誰？,,基礎
학생,學生,haksaeng,單字,명사,저는 학생이에요.,我是學生。,,身分
선생님,老師,seonsaengnim,單字,명사,선생님께 질문이 있어요.,我有問題想請教老師。,님 是敬稱後綴,身分
회사원,上班族,hoesawon,單字,명사,저는 회사원이에요.,我是上班族。,,身分
친구,朋友,chingu,單字,명사,친구를 만나요.,和朋友見面。,,身分
누구,誰,nugu,單字,대명사,이건 누구 거예요?,這是誰的？,,疑問詞
뭐,什麼,mwo,單字,대명사,이게 뭐예요?,這是什麼？,무엇 的口語形,疑問詞
어디,哪裡,eodi,單字,대명사,어디에 가요?,你要去哪裡？,,疑問詞
언제,什麼時候,eonje,單字,부사,언제 만날까요?,我們什麼時候見面？,,疑問詞
왜,為什麼,wae,單字,부사,왜 안 왔어요?,你為什麼沒來？,,疑問詞
어떻게,怎麼,eotteoke,單字,부사,어떻게 가요?,要怎麼去？,,疑問詞
얼마,多少,eolma,單字,명사,이거 얼마예요?,這個多少錢？,,疑問詞
오늘,今天,oneul,單字,명사,오늘 날씨가 좋아요.,今天天氣很好。,,時間
내일,明天,naeil,單字,명사,내일 만나요.,明天見。,,時間
어제,昨天,eoje,單字,명사,어제 뭐 했어요?,你昨天做了什麼？,,時間
지금,現在,jigeum,單字,부사,지금 뭐 해요?,你現在在做什麼？,,時間
아침,早上,achim,單字,명사,아침에 커피를 마셔요.,早上喝咖啡。,也指「早餐」,時間
점심,中午,jeomsim,單字,명사,점심 먹었어요?,吃午餐了嗎？,也指「午餐」,時間
저녁,晚上,jeonyeok,單字,명사,저녁에 만나요.,晚上見。,也指「晚餐」,時間
밤,夜晚,bam,單字,명사,밤에 잠이 안 와요.,晚上睡不著。,,時間
주말,週末,jumal,單字,명사,주말에 뭐 해요?,週末要做什麼？,,時間
시간,時間,sigan,單字,명사,시간이 없어요.,沒有時間。,,時間
가족,家人,gajok,單字,명사,가족이 몇 명이에요?,你家有幾個人？,,家人
아버지,爸爸,abeoji,單字,명사,,,口語常說 아빠,家人
어머니,媽媽,eomeoni,單字,명사,,,口語常說 엄마,家人
오빠,哥哥,oppa,單字,명사,,,女生稱呼哥哥；男生用 형,家人
언니,姐姐,eonni,單字,명사,,,女生稱呼姐姐；男生用 누나,家人
동생,弟弟／妹妹,dongsaeng,單字,명사,,,不分性別；加 남/여 可區分,家人
밥,飯,bap,單字,명사,밥 먹었어요?,吃飯了嗎？,也泛指「一餐」,食物
물,水,mul,單字,명사,물 좀 주세요.,請給我一點水。,,食物
커피,咖啡,keopi,單字,명사,커피 한 잔 주세요.,請給我一杯咖啡。,外來語,食物
차,茶,cha,單字,명사,,,同音也是「車」,食物
빵,麵包,ppang,單字,명사,,,,食物
고기,肉,gogi,單字,명사,,,,食物
김치,泡菜,gimchi,單字,명사,김치가 매워요.,泡菜很辣。,,食物
라면,泡麵,ramyeon,單字,명사,,,,食物
비빔밥,拌飯,bibimbap,單字,명사,,,,食物
불고기,烤肉,bulgogi,單字,명사,,,直譯是「火肉」,食物
맥주,啤酒,maekju,單字,명사,,,,食物
음식,食物,eumsik,單字,명사,한국 음식을 좋아해요.,我喜歡韓國料理。,,食物
식당,餐廳,sikdang,單字,명사,,,,場所
메뉴,菜單,menyu,單字,명사,메뉴 좀 주세요.,請給我菜單。,,用餐
맛있다,好吃,masitda,單字,형용사,정말 맛있어요.,真好吃。,活用為 맛있어요,用餐
맛없다,不好吃,madeopda,單字,형용사,,,,用餐
맵다,辣,maepda,單字,형용사,너무 매워요.,太辣了。,ㅂ 不規則活用,用餐
배고프다,肚子餓,baegopeuda,單字,형용사,배고파요.,我餓了。,,用餐
배부르다,吃飽,baebureuda,單字,형용사,배불러요.,我吃飽了。,,用餐
돈,錢,don,單字,명사,돈이 없어요.,沒有錢。,,購物
가게,商店,gage,單字,명사,,,,購物
시장,市場,sijang,單字,명사,,,,購物
백화점,百貨公司,baekhwajeom,單字,명사,,,,購物
편의점,便利商店,pyeonuijeom,單字,명사,,,,購物
카드,信用卡,kadeu,單字,명사,카드로 계산할게요.,我要刷卡。,,購物
현금,現金,hyeongeum,單字,명사,,,,購物
얼마예요?,多少錢？,eolmayeyo,詞組,,,,購物必備,購物
이거 주세요,請給我這個,igeo juseyo,詞組,,,,指著東西說最有效,購物
너무 비싸요,太貴了,neomu bissayo,詞組,,,,,購物
깎아 주세요,請算便宜一點,kkakka juseyo,詞組,,,,傳統市場才適用；百貨不還價,購物
계산해 주세요,請結帳,gyesanhae juseyo,詞組,,,,,購物
집,家,jip,單字,명사,집에 가요.,回家。,,場所
학교,學校,hakgyo,單字,명사,학교에 가요.,去學校。,,場所
회사,公司,hoesa,單字,명사,,,,場所
병원,醫院,byeongwon,單字,명사,,,,場所
은행,銀行,eunhaeng,單字,명사,,,,場所
역,車站,yeok,單字,명사,서울역에서 만나요.,在首爾站見。,,交通
공항,機場,gonghang,單字,명사,,,,交通
화장실,洗手間,hwajangsil,單字,명사,화장실이 어디예요?,洗手間在哪裡？,,場所
버스,公車,beoseu,單字,명사,,,,交通
지하철,地鐵,jihacheol,單字,명사,지하철로 가요.,搭地鐵去。,,交通
택시,計程車,taeksi,單字,명사,,,,交通
여기,這裡,yeogi,單字,대명사,여기에 앉으세요.,請坐這裡。,,方位
거기,那裡,geogi,單字,대명사,,,離聽者近,方位
저기,那裡,jeogi,單字,대명사,저기요!,不好意思！,叫住陌生人也用這個,方位
앞,前面,ap,單字,명사,,,,方位
뒤,後面,dwi,單字,명사,,,,方位
옆,旁邊,yeop,單字,명사,,,,方位
안,裡面,an,單字,명사,,,,方位
밖,外面,bak,單字,명사,,,,方位
위,上面,wi,單字,명사,,,,方位
아래,下面,arae,單字,명사,,,밑 也是同義,方位
날씨,天氣,nalssi,單字,명사,오늘 날씨가 어때요?,今天天氣如何？,,天氣
비,雨,bi,單字,명사,비가 와요.,下雨了。,,天氣
눈,雪,nun,單字,명사,눈이 와요.,下雪了。,同形也是「眼睛」,天氣
바람,風,baram,單字,명사,,,,天氣
덥다,熱,deopda,單字,형용사,너무 더워요.,太熱了。,ㅂ 不規則,天氣
춥다,冷,chupda,單字,형용사,오늘은 추워요.,今天很冷。,ㅂ 不規則,天氣
따뜻하다,溫暖,ttatteuthada,單字,형용사,,,,天氣
시원하다,涼爽,siwonhada,單字,형용사,,,喝湯時也說「시원하다」表示暢快,天氣
좋다,好,jota,單字,형용사,날씨가 좋아요.,天氣很好。,,形容
싫다,討厭,silta,單字,형용사,,,,形容
행복하다,幸福,haengbokhada,單字,형용사,,,,情緒
슬프다,傷心,seulpeuda,單字,형용사,,,,情緒
피곤하다,疲倦,pigonhada,單字,형용사,피곤해요.,我累了。,,情緒
바쁘다,忙,bappeuda,單字,형용사,요즘 바빠요.,最近很忙。,,情緒
재미있다,有趣,jaemiitda,單字,형용사,한국어가 재미있어요.,韓語很有趣。,,形容
재미없다,無聊,jaemieopda,單字,형용사,,,,形容
쉽다,容易,swipda,單字,형용사,,,ㅂ 不規則,形容
어렵다,難,eoryeopda,單字,형용사,한국어가 어려워요.,韓語很難。,ㅂ 不規則,形容
크다,大,keuda,單字,형용사,집이 커요.,房子很大。,,形容
작다,小,jakda,單字,형용사,,,,形容
많다,多,manta,單字,형용사,사람이 많아요.,人很多。,,形容
