ko,zh,romanization,hanja,type,pos,example_ko,example_zh,note,tags
닮다,長得像,damda,,單字,동사,엄마를 닮았어요.,長得像媽媽。,複合收音 ㄻ [m]：只讀 ㅁ。닮아요＝[달마요]（遇母音拆開）,收音ㄻ
젊다,年輕,jeomda,,單字,형용사,,,複合收音 ㄻ [m]：讀 [점따]。젊어요＝[절머요],收音ㄻ
넓다,寬,neolda,,單字,형용사,,,複合收音 ㄼ 在子音前讀 [ㄹ]：넓다＝[널따]。넓어요＝[널버요]（遇母音才拆開讀出 ㅂ）,收音ㄼ
여덟,八,yeodeol,,單字,수사,,,複合收音 ㄼ [l]：讀 [여덜]。真正讀 [ㅂ] 的例外是 밟다＝[밥따],收音ㄼ
짧다,短,jjalda,,單字,형용사,,,★ 原稿標為 ㄽ，實際是 ㄼ。讀 [짤따]。長是 길다,收音ㄼ
외곬,一條路,oegol,,單字,명사,,,複合收音 ㄽ [l]：讀 [외골]。「固執」一般寫作 외골수（외+골수），原稿的 외곬수 非標準,收音ㄽ
핥다,舔,halda,,單字,동사,,,複合收音 ㄾ 在子音前讀 [ㄹ]：핥다＝[할따]。핥아요＝[할타요],收音ㄾ
흩다,散開,heutda,,單字,동사,,,★ 原稿標為 ㄾ，實際是單一收音 ㅌ，讀 [흗따]。ㅌ 收音歸 [t] 組,收音ㄷ
싫다,討厭,silta,,單字,형용사,,,★ 原稿標為 ㄿ，實際是 ㅀ。ㅎ 使下一子音送氣：讀 [실타],收音ㅀ
옳다,正確,olta,,單字,형용사,,,複合收音 ㅀ [l]：讀 [올타]。與 싫다 同組,收音ㅀ
읊다,吟誦,eupda,,單字,동사,,,★ 這才是真正含 ㄿ 的常見詞：讀 [읍따]，只留 ㅍ 轉成的 [p],收音ㄿ
