ko,zh,romanization,type,note,tags,hanja,pos
うで,手腕,u de,word,,"濁音,平假名,身體",,名詞
かびん,花瓶,ka bi n,word,,"濁音,平假名,物品",,名詞
かぎ,鑰匙,ka gi,word,,"濁音,平假名,物品",,名詞
かがみ,鏡子,ka ga mi,word,,"濁音,平假名,物品",,名詞
ばら,玫瑰、薔薇,ba ra,word,,"濁音,平假名,植物",,名詞
ぎんこう,銀行,gi n ko u,word,,"濁音,平假名,場所",,名詞
ゆびわ,戒指,yu bi wa,word,,"濁音,平假名,物品",,名詞
バナナ,香蕉,ba na na,word,,"濁音,平假名,食物",,名詞
ベジタリアン,素食者,be ji ta ri a n,word,,"濁音,平假名,人物",,名詞
ラジオ,收音機,ra ji o,word,,"濁音,平假名,物品",,名詞
ゴリラ,大猩猩,go ri ra,word,,"濁音,平假名,動物",,名詞
ダンス,跳舞,da n su,word,,"濁音,平假名,運動",,名詞
ボールペン,原子筆,bo o ru pe n,word,,"濁音,平假名,文具",,名詞
