ko,zh,romanization,type,note,tags,hanja,pos
ン,n ·片假名,n,word,"ン･ン･ン！恩･恩･恩，恩人愛吃冰！
字源來自漢字「尔」，兩筆寫完，發音 n，是撥音，只做尾音，不能單獨開頭。⚠️注意和「ソ」區分，筆畫方向不一樣。","清音,片假名,,ン",,
パン,麵包,pa n,word,,"清音,,ン,食物",,名詞
ペン,筆,pe n,word,,"清音,,ン,文具",,名詞
センター,中心,se n ta a,word,,"清音,,ン,場所",,名詞
ワンタン,餛飩、雲吞,wa n ta n,word,,"清音,,ン,食物",,名詞
ジーパン,牛仔褲,ji i pa n,word,,"清音,,ン,服裝",,名詞
いただきます。,開動囉！,i ta da ki ma su,sentence,對話 A｜出入門與用餐的招呼｜吃飯前一定要說。字面是「我領受了」—— 對食物與做飯的人道謝。,"清音,,ン,會話",,
ごちそうさま。,吃飽了，謝謝。,go chi so u sa ma,sentence,對話 B｜出入門與用餐的招呼｜,"清音,,ン,會話",,
行ってきます。,我出門囉！,i t te ki ma su,sentence,對話 A｜出入門與用餐的招呼｜出門的人說「我去去就回」，送的人回「行ってらっしゃい」。成對使用。,"清音,,ン,會話",行[い]ってきます。,
行ってらっしゃい。,請慢走。（送家人出門）,i t te ra s sha i,sentence,對話 B｜出入門與用餐的招呼｜,"清音,,ン,會話",行[い]ってらっしゃい。,
