ko,zh,romanization,type,note,tags,hanja,pos
ヲ,wo ·片假名,wo,word,"ヲ･ヲ･ヲ！乎･乎･乎，發現了傻乎乎的大海鷗！
字源來自漢字「乎」，兩筆寫完，羅馬字標註 wo，實際發音讀 o，大多用作助詞。","清音,片假名,ワ行,ヲ",,
ウォッチ,手錶,wo c chi,word,,"清音,ワ行,ヲ,物品",,名詞
ファイヤーウォール,防火牆,fu a i ya a wo o ru,word,,"清音,ワ行,ヲ,物品",,名詞
ミネラルウォーター,礦泉水,mi ne ra ru wo o ta a,word,,"清音,ワ行,ヲ,食物",,名詞
ウォッカ,伏特加酒,wo k ka,word,,"清音,ワ行,ヲ,食物",,名詞
ウォーキング,步行,wo o ki n gu,word,,"清音,ワ行,ヲ,運動",,名詞
おはようございます。,早安。,o ha yo u go za i ma su,sentence,對話 A｜日常招呼｜,"清音,ワ行,ヲ,會話",,
こんにちは。,午安。,ko n ni chi wa,sentence,對話 B｜日常招呼｜,"清音,ワ行,ヲ,會話",,
こんばんは。,晚上好。,ko n ba n wa,sentence,對話 A｜日常招呼｜,"清音,ワ行,ヲ,會話",,
おやすみなさい。,晚安。,o ya su mi na sa i,sentence,對話 B｜日常招呼｜,"清音,ワ行,ヲ,會話",,
