ko,zh,type,pos,hanja,romanization,note,example_ko,example_zh,tags
근데,話說／不過,word,부사,,geunde,★ 그런데 的口語縮寫，韓國人開口第一名。不一定是轉折，常常只是「話說」，用來換話題,근데 그 카페 어디에 있어요?,話說那家咖啡廳在哪裡？,"口語,溝通"
그니까,就是說,word,부사,,geunikka,그러니까 的口語縮寫。附和對方時說「그니까」＝「就是說啊」，不是在解釋原因,"그니까요, 저도 그렇게 생각했어요.",就是說啊，我也這麼覺得。,"口語,回應"
아무튼,總之,word,부사,,amuteun,話講偏了要拉回來時用。아무튼 그래서＝總之所以說,아무튼 잘 끝나서 다행이에요.,總之順利結束了太好了。,"口語,溝通"
하긴,也是啦,word,부사,,hagin,被說服時的一句話。承認對方有道理，語氣輕,"하긴, 그럴 수도 있겠네요.",也是啦，可能真是那樣。,"口語,回應"
어쩐지,難怪,word,부사,,eojjeonji,恍然大悟時說。後面常接 -더라（我就說嘛）,어쩐지 오늘 사람이 많더라고요.,難怪今天人這麼多。,"口語,回應"
일단,先,word,부사,一旦,ildan,漢字是「一旦」，但韓語意思完全不同 —— 是「總之先…」。★ 這是最容易被中文帶偏的漢字詞之一,일단 커피부터 마실래요?,要不要先喝杯咖啡？,"口語,溝通"
역시,果然,word,부사,亦是,yeoksi,漢字是「亦是」而非「果然」。既可表「果然如此」，也可表「不愧是」：역시 최고예요,역시 이 집이 제일 맛있어요.,果然還是這家最好吃。,"口語,回應"
완전,超級,word,부사,完全,wanjeon,漢字是「完全」，但口語裡當「超級」用，★ 這是近年的口語用法，考試韓語不會這樣教,이번 앨범 완전 취향이에요.,這張專輯完全是我的菜。,"口語,情緒"
되게,很,word,부사,,doege,純口語的「很」。書面語用 매우，但沒有人在講話時說 매우,오늘 되게 피곤하네요.,今天覺得好累。,"口語,情緒"
엄청,非常,word,부사,,eomcheong,比 되게 更強。엄청나다（了不起的）的副詞形,스티커를 엄청 많이 샀어요.,貼紙買了超多。,"口語,情緒"
좀,一點／麻煩,word,부사,,jom,조금 的縮寫，但真正的作用是「軟化語氣」。★ 이거 주세요 → 이거 좀 주세요 聽起來客氣很多,이것 좀 도와주실래요?,可以麻煩你幫我一下嗎？,"口語,溝通"
너무,太,word,부사,,neomu,原本表過度（負面），但口語裡正面也用：너무 예뻐요＝太美了。★ 這點與中文的「太」一樣,이 색감 너무 예뻐요.,這個色調太美了。,"口語,情緒"
-잖아요,你也知道嘛,phrase,어미,,janayo,提醒對方一件雙方都知道的事。★ 用在對方不知道的事上會顯得責備，這是最常見的誤用,그 노래 좋잖아요.,那首歌很好聽嘛。,"口語,溝通"
-거든요,是這樣的,phrase,어미,,geodeunyo,補充對方不知道的背景。★ 與 -잖아요 正好相反：一個是「你知道的」，一個是「你不知道的」,어제 청소를 했거든요.,因為我昨天打掃了。,"口語,溝通"
-더라고요,我發現,phrase,어미,,deoragoyo,講自己親身經歷後的發現。★ 只能用在自己直接經驗過的事，聽來的不能用,생각보다 어렵더라고요.,我發現比想像中難。,"口語,溝通"
-네요,原來,phrase,어미,,neyo,當下發現、覺得意外時的語尾。比 -어요 多一層「我剛注意到」的味道,벌써 품절이네요.,居然已經賣完了。,"口語,回應"
-죠,對吧,phrase,어미,,jyo,-지요 的縮寫。徵求同意，或講一件理所當然的事,이 정도면 괜찮죠?,這樣應該可以吧？,"口語,回應"
-는데요,委婉收尾,phrase,어미,,neundeyo,話沒說完就停，把判斷留給對方 —— 比直接說完客氣。★ 韓語裡「話說一半」是禮貌，不是含糊,좀 비싼데요.,是有點貴啦…,"口語,溝通"
헐,傻眼,word,감탄사,,heol,看到誇張或不敢相信的事。★ 只對朋友用，不能對長輩,"헐, 벌써 매진이에요?",傻眼，已經完售了？,"口語,情緒"
그치?,對吧？,phrase,표현,,geuchi,그렇지 的口語縮寫。徵求同意。敬語是 그쵸? 或 그렇죠?,"이거 예쁘다, 그치?",這個好看吧？,"口語,回應"
뭐랄까,怎麼說呢,phrase,표현,,mworalkka,想不出精確講法時的緩衝。中文的「怎麼說呢」一模一樣,"뭐랄까, 느낌이 좀 달라요.",怎麼說呢，感覺有點不一樣。,"口語,溝通"
글쎄요,這個嘛,word,감탄사,,geulsseyo,不確定或不想直說時。★ 也是委婉拒絕的方式 —— 韓國人不太直接說「아니요」,"글쎄요, 좀 더 생각해 볼게요.",這個嘛，我再想想。,"口語,回應"
아 맞다,啊對了,phrase,표현,,a matda,突然想起某件事。맞다＝對。★ 只用於自言自語或對朋友,"아 맞다, 그거 사야 되는데.",啊對了，那個要買。,"口語,回應"
그러게요,就是說啊,word,감탄사,,geureogeyo,同意對方的感嘆。比 그니까요 更柔和一點,"그러게요, 시간 참 빠르네요.",就是說啊，時間過得真快。,"口語,回應"
아직,還,word,부사,,ajik,還沒發生或還在持續。아직이에요＝還沒好,아직 편집이 안 끝났어요.,剪輯還沒弄完。,"口語,時間"
벌써,已經,word,부사,,beolsseo,比預期還快。★ 與 이미（已經）不同：벌써 帶「這麼快？」的驚訝,벌써 한 달이 지났어요.,已經過了一個月了。,"口語,時間"
이제,現在起,word,부사,,ije,從現在開始的轉折點。이제 그만＝到此為止,이제 좀 쉬어야겠어요.,現在該休息一下了。,"口語,時間"
혹시,該不會／請問,word,부사,或是,hoksi,漢字是「或是」。★ 開口問陌生人時的緩衝：혹시 시간 있으세요?,혹시 이 자리 비었어요?,請問這位子是空的嗎？,"口語,溝通"
