ko,zh,romanization,hanja,type,pos,example_ko,example_zh,note,tags
공,零,gong,空,單字,수사,,,漢字「空」。電話號碼與數字唸法用它；固有語的零是 영（零）,固有數詞
하나,一,hana,,單字,수사,사과 한 개,一顆蘋果,★ 固有數詞。後面接量詞時變短形 한：하나→한、둘→두、셋→세、넷→네、스물→스무,固有數詞
둘,二,dul,,單字,수사,두 시,兩點,固有數詞；接量詞時變 두,固有數詞
셋,三,set,,單字,수사,세 명,三個人,固有數詞；接量詞時變 세,固有數詞
넷,四,net,,單字,수사,네 개,四個,固有數詞；接量詞時變 네,固有數詞
다섯,五,daseot,,單字,수사,,,固有數詞；五以上接量詞不變形,固有數詞
여섯,六,yeoseot,,單字,수사,,,固有數詞,固有數詞
일곱,七,ilgop,,單字,수사,,,固有數詞,固有數詞
아홉,九,ahop,,單字,수사,,,固有數詞,固有數詞
열,十,yeol,,單字,수사,,,固有數詞；11 是 열하나、12 是 열둘,固有數詞
스물,二十,seumul,,單字,수사,스무 살,二十歲,固有數詞；接量詞時變 스무,固有數詞
서른,三十,seoreun,,單字,수사,,,固有數詞,固有數詞
마흔,四十,maheun,,單字,수사,,,固有數詞,固有數詞
쉰,五十,swin,,單字,수사,,,固有數詞,固有數詞
예순,六十,yesun,,單字,수사,,,固有數詞,固有數詞
일흔,七十,ilheun,,單字,수사,,,固有數詞,固有數詞
여든,八十,yeodeun,,單字,수사,,,固有數詞,固有數詞
아흔,九十,aheun,,單字,수사,,,固有數詞；一百以上改用漢字數詞 백（百）,固有數詞
